Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp,Advertisement 11 ID,Advertisement 11 Count,Advertisement 11 Skippable,Advertisement 11 Skip Duration,Advertisement 11 Resolution,Advertisement 11 Size(Bytes),Advertisement 11 Durationn(s),Advertisement 11 Advert_Buffer(s),Advertisement 11 Main_Buffer_Lost(s),Avertisement 11 Timestamp,Advertisement 12 ID,Advertisement 12 Count,Advertisement 12 Skippable,Advertisement 12 Skip Duration,Advertisement 12 Resolution,Advertisement 12 Size(Bytes),Advertisement 12 Durationn(s),Advertisement 12 Advert_Buffer(s),Advertisement 12 Main_Buffer_Lost(s),Avertisement 12 Timestamp,Advertisement 13 ID,Advertisement 13 Count,Advertisement 13 Skippable,Advertisement 13 Skip Duration,Advertisement 13 Resolution,Advertisement 13 Size(Bytes),Advertisement 13 Durationn(s),Advertisement 13 Advert_Buffer(s),Advertisement 13 Main_Buffer_Lost(s),Avertisement 13 Timestamp,Advertisement 14 ID,Advertisement 14 Count,Advertisement 14 Skippable,Advertisement 14 Skip Duration,Advertisement 14 Resolution,Advertisement 14 Size(Bytes),Advertisement 14 Durationn(s),Advertisement 14 Advert_Buffer(s),Advertisement 14 Main_Buffer_Lost(s),Avertisement 14 Timestamp,Advertisement 15 ID,Advertisement 15 Count,Advertisement 15 Skippable,Advertisement 15 Skip Duration,Advertisement 15 Resolution,Advertisement 15 Size(Bytes),Advertisement 15 Durationn(s),Advertisement 15 Advert_Buffer(s),Advertisement 15 Main_Buffer_Lost(s),Avertisement 15 Timestamp,Advertisement 16 ID,Advertisement 16 Count,Advertisement 16 Skippable,Advertisement 16 Skip Duration,Advertisement 16 Resolution,Advertisement 16 Size(Bytes),Advertisement 16 Durationn(s),Advertisement 16 Advert_Buffer(s),Advertisement 16 Main_Buffer_Lost(s),Avertisement 16 Timestamp,Advertisement 17 ID,Advertisement 17 Count,Advertisement 17 Skippable,Advertisement 17 Skip Duration,Advertisement 17 Resolution,Advertisement 17 Size(Bytes),Advertisement 17 Durationn(s),Advertisement 17 Advert_Buffer(s),Advertisement 17 Main_Buffer_Lost(s),Avertisement 17 Timestamp,Advertisement 18 ID,Advertisement 18 Count,Advertisement 18 Skippable,Advertisement 18 Skip Duration,Advertisement 18 Resolution,Advertisement 18 Size(Bytes),Advertisement 18 Durationn(s),Advertisement 18 Advert_Buffer(s),Advertisement 18 Main_Buffer_Lost(s),Avertisement 18 Timestamp,Advertisement 19 ID,Advertisement 19 Count,Advertisement 19 Skippable,Advertisement 19 Skip Duration,Advertisement 19 Resolution,Advertisement 19 Size(Bytes),Advertisement 19 Durationn(s),Advertisement 19 Advert_Buffer(s),Advertisement 19 Main_Buffer_Lost(s),Avertisement 19 Timestamp,Advertisement 20 ID,Advertisement 20 Count,Advertisement 20 Skippable,Advertisement 20 Skip Duration,Advertisement 20 Resolution,Advertisement 20 Size(Bytes),Advertisement 20 Durationn(s),Advertisement 20 Advert_Buffer(s),Advertisement 20 Main_Buffer_Lost(s),Avertisement 20 Timestamp
https://www.youtube.com/watch?v=hXzcyx9V0xw,0,139,10414349.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=sKF8nYGx27Q,2,560,36385147.0,640x360 ,ESc5SR-JvkU,1.0,1.0,5.0,640x360,1908113.0,30.0,30.8,0.0,97.380542,UcLyG7-xD94,1.0,0.0,999.0,640x360,219690.0,6.0,6.0,0.0,97.380542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=x1GMyQeimYc,6,1685,142683043.0,640x360 ,8oK0LjDNgwI,1.0,1.0,5.0,640x360,1625399.0,25.0,22.9,-1.0,0.0,O_D8Q1hFTWo,1.0,1.0,5.0,640x360,30618826.0,749.741,41.66,0.0,0.0,dG7Yo1nx_ug,1.0,0.0,999.0,640x360,329952.0,6.0,6.0,0.0,69.916875,qTMcZU3iSj8,1.0,0.0,999.0,640x360,799270.0,15.021,15.021,40.29,575.314794,J-DL7IiE648,1.0,0.0,999.0,640x360,1253403.0,15.041,15.041,14.79,901.962194,f5qEpTfrQcg,1.0,0.0,999.0,640x360,435047.0,6.041,6.041,10.66,1248.533671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=dDprvKIL6Pw,2,976,51286544.0,640x360 ,nQdUC3VHelY,1.0,1.0,5.0,640x360,651608.0,15.041,15.4,136.38,456.688412,KlQHSLSJr9o,1.0,1.0,5.0,640x228,9581377.0,172.0,64.52000000000001,0.0,456.688412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=dMoFcvfd5t4,1,269,19900549.0,640x360 ,Elt-8_ovtec,1.0,0.0,999.0,640x360,1294978.0,15.081,15.081,-1.0,269.049513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=RjNcTBXTk4I,0,92,6905747.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=YudHcBIxlYw,2,185,13636545.0,640x360 ,ENhglf7yhUc,1.0,1.0,5.0,640x360,1227665.0,15.041,15.73,-1.0,0.0,8LhDH22Qt3I,1.0,1.0,5.0,640x360,696732.0,15.0,8.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=4Iw7Jei8XOo,0,1686,73418479.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=RPH2APBoVtI,4,753,56039954.0,640x360 ,trHuWDkV7LY,1.0,1.0,5.0,640x360,581622.0,15.0,15.56,-1.0,0.0,xj5vwm0ixF8,1.0,1.0,5.0,640x360,1053098.0,15.0,15.44,0.0,0.0,qkHDjfnpxcw,1.0,1.0,5.0,640x360,1355986.0,15.0,15.51,7.69,316.607059,ESc5SR-JvkU,1.0,1.0,5.0,640x360,1908113.0,30.061,30.69,0.0,316.607059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=CDwJLg06ONw,2,1791,155199261.0,640x360 ,nZv3eKVrvDs,1.0,0.0,999.0,640x360,686355.0,15.041,15.041,20.8,862.93603,8GEC0f3RS-A,1.0,0.0,999.0,640x360,862099.0,15.041,15.041,-1.0,1790.908877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=-GQg25oP0S4,0,213,15815431.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=5XeAWjmYilE,7,3094,246386028.0,640x360 ,NAqK2Pw41eM,1.0,1.0,5.0,640x360,18593367.0,274.181,7.939999999999999,-1.0,0.0,0W3EdRVutxI,1.0,1.0,5.0,640x360,17250797.0,191.0,8.79,0.0,0.0,C1ty1szSGbI,1.0,0.0,999.0,640x360,846614.0,15.121,15.121,41.48,288.55769,D778RN1l5GM,1.0,0.0,999.0,640x360,698062.0,15.0,15.0,0.0,1035.179912,rjvFxEONC0A,1.0,0.0,999.0,640x360,884022.0,15.0,15.0,9.87,2180.223317,BE0FskRpa40,1.0,0.0,999.0,640x360,865697.0,15.041,15.041,0.0,2518.950726,G7qVmWRt0-E,1.0,0.0,999.0,640x360,1395762.0,15.121,15.121,0.0,2900.531987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=aWKtAqIUEl4,0,101,9342778.0,640x480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=6DWjiWEmxME,1,260,19135356.0,640x360 ,EXl4cwkpMPU,1.0,1.0,5.0,640x360,2574762.0,36.061,36.7,-1.0,260.42208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=GVPzGBvPrzw,1,162,11039582.0,640x360 ,wLAz0nmuhCU,1.0,1.0,5.0,640x360,8572773.0,120.141,56.4,-1.0,161.780078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
