Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp,Advertisement 11 ID,Advertisement 11 Count,Advertisement 11 Skippable,Advertisement 11 Skip Duration,Advertisement 11 Resolution,Advertisement 11 Size(Bytes),Advertisement 11 Durationn(s),Advertisement 11 Advert_Buffer(s),Advertisement 11 Main_Buffer_Lost(s),Avertisement 11 Timestamp
https://www.youtube.com/watch?v=I9CFpdU73Fo,5,2744,140864691.0,640x360 ,XNlCC6yxNqA,1.0,1.0,5.0,640x360,6529038.0,91.0,14.49,-1.0,0.0,aDJeBr2eKuk,1.0,1.0,5.0,640x360,2666530.0,30.0,14.46,0.0,0.0,23i0dSVV8BU,1.0,1.0,5.0,640x360,16994453.0,287.0,62.59,89.43,359.978417,UO3N86cV7Pg,1.0,1.0,5.0,640x360,1386323.0,15.0,15.43,0.0,359.978417,5kTt5TSiZ1Q,1.0,0.0,999.0,480x360,336074.0,7.0,7.0,44.61,1439.940417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=YudHcBIxlYw,2,185,13636545.0,640x360 ,YKsRDlqRRz8,1.0,1.0,5.0,640x360,22012372.0,233.0,7.49,-1.0,184.812,NodpSR2HfDg,1.0,1.0,5.0,640x360,4807548.0,60.0,11.24,0.0,184.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=XDTt0C5hWWw,4,2165,138180845.0,640x360 ,2rz408BynaI,1.0,1.0,5.0,640x360,18895453.0,256.0,49.09,49.82,375.665145,rss4fwYspec,1.0,1.0,5.0,640x360,6631795.0,227.0,67.85,0.0,375.665145,UFoiHtEmahg,1.0,0.0,999.0,640x360,288962.0,6.0,6.0,16.32,550.255737,nkgyyTt2YIY,1.0,0.0,999.0,640x360,410314.0,6.0,6.0,31.0,1571.765443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=ioErs-LntAI,3,3315,169040569.0,640x360 ,Il8I3hJBsVo,1.0,1.0,5.0,640x360,2926742.0,38.0,17.240000000000002,-1.0,0.0,YDJcbH_HgjY,1.0,1.0,5.0,640x360,19198322.0,224.0,15.37,0.0,0.0,AqlDnvzjPZE,4.0,0.0,999.0,640x360,720254.0,15.0,15.0,-1.0,3315.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=hpVwt8U6rcI,2,254,4850770.0,360x360 ,DNtvyQheBx8,1.0,1.0,5.0,640x360,17803758.0,283.0,22.72,-1.0,0.0,RNXXRPsuoKA,1.0,1.0,5.0,640x360,6876419.0,121.0,23.78,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=WeF-aeDweTA,2,444,38848099.0,640x360 ,m8uqz0EzVfk,1.0,1.0,5.0,640x360,1602722.0,29.0,28.89,-1.0,443.767,c7F5GmSTKaQ,1.0,1.0,5.0,640x360,35403860.0,630.0,67.42,0.0,443.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=OEZ6rFwJ3KE,1,273,20355056.0,640x360 ,oo852NVA2yk,1.0,1.0,5.0,640x360,15599716.0,198.0,7.92,-1.0,273.385238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=HLbqOR4AtxI,4,676,36259582.0,640x360 ,1UyOhb9xBhc,1.0,1.0,5.0,640x360,2776655.0,35.0,18.05,-1.0,0.0,Os_heh8vPfs,1.0,1.0,5.0,640x360,15429345.0,205.0,19.56,0.0,0.0,ynOtYmpZxak,1.0,1.0,5.0,640x360,13202251.0,195.0,49.63,109.93,270.424476,RaLXHG3tWmU,1.0,1.0,5.0,640x360,2240222.0,30.0,30.26,0.0,270.424476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=al_bBJidKmA,3,292,26531199.0,640x360 ,z96biPrZW8Q,1.0,1.0,5.0,640x360,19629258.0,698.0,45.53,-1.0,0.0,1exI04dmCs4,1.0,1.0,5.0,640x360,2173965.0,30.0,12.75,0.0,0.0,6u3tuooRxuw,1.0,1.0,5.0,640x360,1600786.0,31.0,31.04,-1.0,291.503311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=MMMX7Z-loUQ,1,54,3422795.0,640x360 ,PU7RGd-Ql84,1.0,1.0,5.0,640x360,827226.0,15.0,15.21,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
