720p,360p
737.4704999999999,316.69675
2319.639833333333,504.25124999999997
1011.09,333.27025
940.5862500000001,380.63725000000005
871.5375,345.54075
526.3695,271.65225
395.089,217.897
1714.9673333333333,404.09749999999997
489.13525,268.78475
786.6125000000001,360.585
900.40225,378.5105
1557.7292499999999,422.683
1120.8723999999997,329.37733333333335
,
678.76225,325.90725
1984.463,450.6995
653.8615,319.12600000000003
763.9467500000001,324.2135
459.59775,238.77
377.87025,209.03300000000002
407.24399999999997,194.651
429.99125,212.70274999999998
1433.8413333333335,368.26450000000006
637.90075,304.3705
476.7605,249.0605
476.98474999999996,266.64125
724.47025,319.539
527.35375,266.15475
998.2825,405.38175
462.76,235.341
840.68425,366.2745
737.3417499999999,295.73375
,
729.34725,322.58725
466.21399999999994,205.35775
2073.172833333333,459.74375
848.355,374.34325
,
1321.3481666666667,401.9355
932.54725,381.32649999999995
395.089,217.897
1321.3481666666667,401.9355
476.98474999999996,266.64125
637.90075,304.3705
,
840.68425,366.2745
697.8874999999999,297.20975000000004
871.5375,345.54075
561.1985,284.97175
737.3417499999999,295.73375
910.6905,379.5825
1984.463,450.6995
,
998.2825,405.38175
1022.3355000000001,333.27025
729.34725,322.58725
526.3695,271.65225
1714.9673333333333,404.09749999999997
,
1433.8413333333335,368.26450000000006
462.76,235.341
697.8874999999999,297.20975000000004
561.1985,284.97175
1613.0925,364.682
429.99125,212.70274999999998
395.089,217.897
678.76225,325.90725
737.3417499999999,295.73375
395.089,217.897
526.3695,271.65225
1568.5825000000002,382.62525
737.4704999999999,316.69675
407.191,217.93599999999998
407.24399999999997,194.651
2319.639833333333,504.25124999999997
678.76225,325.90725
616.94625,305.19025
786.6125000000001,360.585
2319.639833333333,504.25124999999997
786.6125000000001,360.585
737.4704999999999,316.69675
840.68425,366.2745
526.3695,271.65225
678.76225,337.05325
2073.172833333333,459.74375
462.76,235.341
1041.7538,333.27025
900.40225,378.5105
1613.0925,364.682
998.2825,405.38175
932.54725,381.32649999999995
507.73049999999995,266.89549999999997
840.68425,366.2745
476.98474999999996,266.64125
466.21399999999994,205.35775
848.355,374.34325
1557.7292499999999,422.683
2319.639833333333,504.25124999999997
637.90075,304.3705
1143.05375,460.46799999999996
526.3695,271.65225
516.0079999999999,249.0605
377.87025,209.03300000000002
697.8874999999999,297.20975000000004
871.5375,345.54075
489.13525,268.78475
,
,
653.8615,319.12600000000003
,
1321.3481666666667,401.9355
1120.8723999999997,329.37733333333335
737.3417499999999,295.73375
940.5862500000001,380.63725000000005
737.4704999999999,316.69675
561.1985,284.97175
429.99125,212.70274999999998
1321.3481666666667,401.9355
1008.39875,430.142
697.8874999999999,297.20975000000004
993.9207999999999,333.27025
997.9431666666668,319.34400000000005
637.90075,304.3705
,
1120.8723999999997,329.37733333333335
526.3695,271.65225
900.40225,378.5105
1818.0488333333333,405.41925000000003
462.76,235.341
466.21399999999994,205.35775
476.7605,249.0605
476.98474999999996,266.64125
1557.7292499999999,422.683
871.5375,345.54075
407.24399999999997,194.651
932.54725,381.32649999999995
459.59775,238.77
495.08275,278.505
2319.639833333333,504.25124999999997
1345.859,366.75775000000004
2073.172833333333,459.74375
940.5862500000001,380.63725000000005
527.35375,266.15475
489.13525,268.78475
786.6125000000001,360.585
724.47025,319.539
840.68425,366.2745
377.87025,209.03300000000002
1613.0925,364.682
848.355,374.34325
376.70500000000004,206.472
998.2825,405.38175
1984.463,450.6995
670.7607499999999,282.792
1714.9673333333333,404.09749999999997
,
,
729.34725,322.58725
2161.6794999999997,468.49399999999997
,
429.99125,212.70274999999998
871.5375,345.54075
